model_year,recent,normalized_mpg,cylinders,normalized_displacement,normalized_horsepower,normalized_weight,normalized_acceleration,chevrolet,buick,plymouth,amc,ford,pontiac,dodge,toyota,datsun,peugeot,audi,saab,bmw,opel,fiat,volkswagen,mercury,oldsmobile,chrysler,mazda,volvo,renault,honda,mercedes,subaru,nissan,porsche,ferrari,mitsubishi,jeep,jaguar,lamborghini,log_price
1970,False,0.2564102564102564,8,0.5746887966804979,0.15014164305949007,0.44533333333333336,0.36,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10.043292972227004
1970,False,0.17948717948717946,8,0.6639004149377593,0.19971671388101986,0.4873333333333333,0.32,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.472781556562168
1970,False,0.2564102564102564,8,0.5975103734439834,0.17847025495750707,0.4302222222222222,0.32,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.680406499268875
1970,False,0.20512820512820512,8,0.5684647302904564,0.17847025495750707,0.4295555555555556,0.36,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10.016860879703811
1970,False,0.23076923076923078,8,0.5643153526970954,0.1643059490084986,0.4331111111111111,0.28,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10.714439990727769
1970,False,0.17948717948717946,8,0.8278008298755186,0.2464589235127479,0.6313333333333333,0.28,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.472781556562168
1970,False,0.15384615384615385,8,0.8796680497925311,0.2776203966005666,0.6342222222222222,0.24,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.90353755128617
1970,False,0.15384615384615385,8,0.8506224066390041,0.2705382436260623,0.6248888888888889,0.2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.90353755128617
1970,False,0.15384615384615385,8,0.8817427385892116,0.28470254957507085,0.65,0.28,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.15915233520675
1970,False,0.17948717948717946,8,0.7468879668049793,0.23512747875354112,0.5222222222222223,0.2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.210440366976517
1970,False,0.17948717948717946,8,0.7323651452282157,0.20679886685552407,0.45844444444444443,0.28,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10.859018228147887
1970,False,0.15384615384615385,8,0.6431535269709544,0.1926345609065156,0.4686666666666667,0.2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10.596659732783579
1970,False,0.17948717948717946,8,0.7676348547717843,0.17847025495750707,0.5024444444444445,0.24,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,10.308985993422082
1970,False,0.15384615384615385,8,0.8817427385892116,0.28470254957507085,0.35244444444444445,0.28,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.472781556562168
1970,False,0.4102564102564103,4,0.17219917012448133,0.10056657223796035,0.19377777777777772,0.48,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9.546884034617925
